Date (GMT);VOC (ppm);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2023-11-04T19:39:00.000Z;6.132;26;15;954.6;36.1487898;-115.1089265;;;
2023-11-04T19:38:00.000Z;5.909;26;15;954.6;36.1486245;-115.109062;;;
2023-11-04T19:37:00.000Z;5.817;26;15;954.6;36.1486704;-115.1092042;;;
2023-11-04T19:36:00.000Z;5.627;26;15;954.6;36.1486704;-115.1092042;;;
2023-11-04T19:35:00.000Z;5.372;26;15;954.7;36.1486704;-115.1092042;;;
2023-11-04T19:34:00.000Z;5.326;26;15;954.7;36.1486704;-115.1092042;;;
2023-11-04T19:33:00.000Z;4.966;26;15;954.7;36.1486704;-115.1092042;;;
2023-11-04T19:32:00.000Z;4.579;26;15;954.8;36.1486704;-115.1092042;;;
2023-11-04T19:31:00.000Z;3.964;25;15;954.8;36.1486704;-115.1092042;;;
2023-11-04T19:30:00.000Z;2.653;25;15;954.8;36.1486704;-115.1092042;;;
2023-11-04T19:29:00.000Z;2.378;25;15;954.8;36.1486704;-115.1092042;1.0;1.0;2.0
2023-11-04T19:28:00.000Z;5.385;25;15;954.9;36.1486704;-115.1092042;;;
2023-11-04T19:27:00.000Z;5.208;25;15;954.9;36.1486704;-115.1092042;;;
2023-11-04T19:26:00.000Z;4.926;25;15;954.9;36.1486704;-115.1092042;;;
2023-11-04T19:25:00.000Z;4.841;25;15;954.9;36.1486704;-115.1092042;;;
2023-11-04T19:24:00.000Z;4.841;25;14;954.9;36.1486704;-115.1092042;;;
2023-11-04T19:23:00.000Z;4.599;25;14;954.8;36.1486704;-115.1092042;;;
2023-11-04T19:22:00.000Z;4.422;25;14;955.0;36.1486704;-115.1092042;;;
2023-11-04T19:21:00.000Z;3.964;24;15;954.9;36.1486704;-115.1092042;;;
2023-11-04T19:20:00.000Z;3.367;24;15;955.0;36.1485929;-115.109217;;;
2023-11-04T19:19:00.000Z;3.269;22;14;955.8;36.1542488;-115.1124453;;;
2023-11-04T19:18:00.000Z;2.274;24;15;955.11;36.1485929;-115.109217;1.0;1.0;2.0
2023-11-04T19:17:00.000Z;2.274;24;15;955.11;36.1485929;-115.109217;1.0;1.0;2.0
2023-11-04T19:16:00.000Z;2.463;24;15;955.09;36.1485929;-115.109217;1.0;1.0;2.0
2023-11-04T18:48:00.000Z;2.568;22;14;955.8;36.1542488;-115.1124453;;;
2023-11-04T18:47:00.000Z;2.337;22;14;955.8;36.1542488;-115.1124453;;;
2023-11-04T18:46:00.000Z;2.13;22;14;955.6;36.1542488;-115.1124453;;;
2023-11-04T18:45:00.000Z;1.909;21;15;955.8;36.1542488;-115.1124453;;;
2023-11-04T18:44:00.000Z;3.223;22;14;955.7;36.1542488;-115.1124453;1.0;1.0;2.0
2023-11-04T18:43:00.000Z;3.367;22;14;955.6;36.1542731;-115.1123766;;;
2023-11-04T18:42:00.000Z;3.282;22;14;955.7;36.1542731;-115.1123766;;;
2023-11-04T18:41:00.000Z;3.197;22;14;955.7;36.1542756;-115.1124364;;;
2023-11-04T18:40:00.000Z;2.922;22;14;955.7;36.1541582;-115.1100777;;;
2023-11-04T18:39:00.000Z;2.863;22;14;955.7;36.1485815;-115.1096789;;;
2023-11-04T18:38:00.000Z;2.607;22;14;955.7;36.1485815;-115.1096789;;;
2023-11-04T18:37:00.000Z;2.409;22;14;955.7;36.1485815;-115.1096789;;;
2023-11-04T18:36:00.000Z;2.314;21;15;955.7;36.1485815;-115.1096789;;;
2023-11-04T18:35:00.000Z;2.111;21;15;955.8;36.1485815;-115.1096789;;;
2023-11-04T18:34:00.000Z;1.906;21;15;954.9;36.1485815;-115.1096789;;;
2023-11-04T18:33:00.000Z;2.444;21;15;955.4;36.1485815;-115.1096789;1.0;1.0;2.0
2023-11-04T18:32:00.000Z;3.289;21;15;956.0;36.1485815;-115.1096789;;;
2023-11-04T18:31:00.000Z;3.23;21;15;955.9;36.148825;-115.1094071;;;
2023-11-04T18:30:00.000Z;3.177;21;15;955.9;36.148648;-115.1092597;;;
2023-11-04T18:29:00.000Z;2.909;21;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:28:00.000Z;2.758;21;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:27:00.000Z;2.594;21;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:26:00.000Z;2.387;21;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:25:00.000Z;2.308;21;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:24:00.000Z;2.175;21;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:23:00.000Z;1.945;20;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:22:00.000Z;2.335;20;15;956.0;36.148648;-115.1092597;1.0;1.0;2.0
2023-11-04T18:21:00.000Z;3.066;20;15;956.0;36.148648;-115.1092597;;;
2023-11-04T18:20:00.000Z;2.955;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:19:00.000Z;2.804;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:18:00.000Z;2.745;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:17:00.000Z;2.607;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:16:00.000Z;2.594;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:15:00.000Z;2.391;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:14:00.000Z;2.284;20;15;956.1;36.148648;-115.1092597;;;
2023-11-04T18:13:00.000Z;2.165;20;15;956.2;36.148648;-115.1092597;;;
2023-11-04T18:12:00.000Z;1.954;19;16;956.1;36.148648;-115.1092597;;;
2023-11-04T18:11:00.000Z;2.256;19;16;956.1;36.148648;-115.1092597;1.0;1.0;2.0
2023-11-04T18:10:00.000Z;2.699;19;16;956.2;36.148648;-115.1092597;;;
2023-11-04T18:09:00.000Z;2.594;19;16;956.2;36.148648;-115.1092597;;;
2023-11-04T18:08:00.000Z;2.555;19;16;956.2;36.148648;-115.1092597;;;
2023-11-04T18:07:00.000Z;2.418;19;16;956.2;36.148648;-115.1092597;;;
2023-11-04T18:06:00.000Z;2.381;19;16;956.2;36.148648;-115.1092597;;;
2023-11-04T18:05:00.000Z;2.349;19;16;956.3;36.148648;-115.1092597;;;
2023-11-04T18:04:00.000Z;2.298;19;16;956.3;36.148648;-115.1092597;;;
2023-11-04T18:03:00.000Z;2.21;19;16;956.3;36.148648;-115.1092597;;;
2023-11-04T18:02:00.000Z;2.097;19;16;956.3;36.148648;-115.1092597;;;
2023-11-04T18:01:00.000Z;1.886;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T18:00:00.000Z;2.135;18;16;956.4;36.148648;-115.1092597;1.0;1.0;2.0
2023-11-04T17:59:00.000Z;2.372;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:58:00.000Z;2.371;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:57:00.000Z;2.373;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:56:00.000Z;2.334;18;16;956.2;36.148648;-115.1092597;;;
2023-11-04T17:55:00.000Z;2.258;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:54:00.000Z;2.242;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:53:00.000Z;2.198;18;16;956.2;36.148648;-115.1092597;;;
2023-11-04T17:52:00.000Z;2.136;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:51:00.000Z;2.013;18;16;956.3;36.148648;-115.1092597;;;
2023-11-04T17:50:00.000Z;1.839;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:49:00.000Z;2.007;17;16;956.4;36.148648;-115.1092597;1.0;2.0;4.0
2023-11-04T17:48:00.000Z;2.314;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:47:00.000Z;2.288;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:46:00.000Z;2.268;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:45:00.000Z;2.23;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:44:00.000Z;2.216;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:43:00.000Z;2.169;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:42:00.000Z;2.115;17;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:41:00.000Z;2.045;16;17;956.4;36.148648;-115.1092597;;;
2023-11-04T17:40:00.000Z;1.942;16;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:39:00.000Z;1.751;16;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:38:00.000Z;1.878;16;16;956.4;36.148648;-115.1092597;1.0;1.0;3.0
2023-11-04T17:37:00.000Z;2.212;16;16;956.5;36.148648;-115.1092597;;;
2023-11-04T17:36:00.000Z;2.193;16;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:35:00.000Z;2.172;16;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:34:00.000Z;2.153;16;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:33:00.000Z;2.104;15;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:32:00.000Z;2.071;15;16;956.5;36.148648;-115.1092597;;;
2023-11-04T17:31:00.000Z;2.011;15;16;956.5;36.148648;-115.1092597;;;
2023-11-04T17:30:00.000Z;1.95;15;16;956.5;36.148648;-115.1092597;;;
2023-11-04T17:29:00.000Z;1.823;15;16;956.4;36.148648;-115.1092597;;;
2023-11-04T17:28:00.000Z;1.583;15;15;956.5;36.148648;-115.1092597;;;
2023-11-04T17:27:00.000Z;1.721;14;16;956.5;36.148648;-115.1092597;1.0;1.0;3.0
2023-11-04T17:26:00.000Z;2.111;15;15;956.6;36.1501482;-115.1094263;;;
2023-11-04T17:25:00.000Z;2.089;20;18;956.7;36.1501482;-115.1094263;;;
2023-11-04T16:19:00.000Z;3.931;20;18;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:18:00.000Z;3.95;20;20;956.6;36.1486294;-115.1090638;;;
2023-11-04T16:17:00.000Z;3.197;21;24;956.5;36.1486294;-115.1090638;;;
2023-11-04T16:16:00.000Z;6.014;21;26;956.6;36.1486294;-115.1090638;;;
2023-11-04T16:15:00.000Z;5.889;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:14:00.000Z;5.686;21;26;956.8;36.1486294;-115.1090638;;;
2023-11-04T16:13:00.000Z;5.398;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:12:00.000Z;4.769;21;25;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:11:00.000Z;3.787;21;25;956.8;36.1486294;-115.1090638;;;
2023-11-04T16:10:00.000Z;2.418;21;25;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:09:00.000Z;5.392;21;24;956.7;36.1486294;-115.1090638;7.0;10.0;12.0
2023-11-04T16:08:00.000Z;6.066;21;24;956.6;36.1486294;-115.1090638;;;
2023-11-04T16:07:00.000Z;5.903;21;24;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:06:00.000Z;5.68;21;24;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:05:00.000Z;5.516;21;24;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:04:00.000Z;5.575;21;23;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:03:00.000Z;4.979;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T16:02:00.000Z;5.47;21;24;956.77;36.1486294;-115.1090638;10.0;12.0;13.0
2023-11-04T16:01:00.000Z;5.608;21;24;956.75;36.1486294;-115.1090638;10.0;12.0;13.0
2023-11-04T16:00:00.000Z;4.409;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T15:59:00.000Z;3.466;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T15:58:00.000Z;5.68;21;26;956.7;36.1486294;-115.1090638;8.0;10.0;12.0
2023-11-04T15:57:00.000Z;6.649;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T15:56:00.000Z;6.571;21;26;956.7;36.1486294;-115.1090638;;;
2023-11-04T15:55:00.000Z;6.577;21;26;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:54:00.000Z;6.617;21;26;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:53:00.000Z;6.459;21;26;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:52:00.000Z;6.296;21;26;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:51:00.000Z;6.086;21;27;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:50:00.000Z;5.745;21;27;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:49:00.000Z;5.11;21;27;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:48:00.000Z;4.029;21;27;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:47:00.000Z;5.634;21;27;956.6;36.1486294;-115.1090638;9.0;11.0;12.0
2023-11-04T15:46:00.000Z;7.508;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:45:00.000Z;7.468;21;28;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:44:00.000Z;7.449;21;28;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:43:00.000Z;7.494;21;28;956.6;36.1486294;-115.1090638;;;
2023-11-04T15:42:00.000Z;7.272;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:41:00.000Z;7.036;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:40:00.000Z;6.944;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:39:00.000Z;6.558;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:38:00.000Z;6.099;21;29;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:37:00.000Z;5.326;21;29;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:36:00.000Z;6.224;21;29;956.4;36.1486294;-115.1090638;8.0;10.0;12.0
2023-11-04T15:35:00.000Z;7.658;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:34:00.000Z;7.527;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:33:00.000Z;7.442;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:32:00.000Z;7.501;21;28;956.5;36.1486294;-115.1090638;;;
2023-11-04T15:31:00.000Z;7.337;21;28;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:30:00.000Z;7.082;21;28;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:29:00.000Z;6.905;21;28;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:28:00.000Z;6.538;21;28;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:27:00.000Z;6.093;21;28;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:26:00.000Z;5.123;21;28;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:25:00.000Z;5.785;21;28;956.4;36.1486294;-115.1090638;7.0;9.0;11.0
2023-11-04T15:24:00.000Z;7.154;21;27;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:23:00.000Z;7.042;21;27;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:22:00.000Z;7.042;21;27;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:21:00.000Z;7.625;21;29;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:20:00.000Z;7.658;21;29;956.4;36.1486294;-115.1090638;;;
2023-11-04T15:19:00.000Z;7.54;21;29;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:18:00.000Z;7.291;21;29;956.2;36.1486294;-115.1090638;;;
2023-11-04T15:17:00.000Z;6.944;21;29;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:16:00.000Z;6.407;21;29;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:15:00.000Z;5.654;21;30;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:14:00.000Z;6.145;21;30;956.3;36.1486294;-115.1090638;8.0;10.0;11.0
2023-11-04T15:13:00.000Z;7.743;21;29;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:12:00.000Z;7.835;21;29;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:11:00.000Z;7.855;21;28;956.2;36.1486294;-115.1090638;;;
2023-11-04T15:10:00.000Z;7.77;21;28;956.2;36.1486294;-115.1090638;;;
2023-11-04T15:09:00.000Z;7.567;21;28;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:08:00.000Z;7.442;21;27;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:07:00.000Z;7.272;21;27;956.3;36.1486294;-115.1090638;;;
2023-11-04T15:06:00.000Z;6.748;21;26;956.2;36.1486294;-115.1090638;;;
2023-11-04T15:05:00.000Z;6.302;21;26;956.2;36.1486294;-115.1090638;;;
2023-11-04T15:04:00.000Z;5.582;21;26;956.2;36.1486294;-115.1090638;;;
2023-11-04T15:03:00.000Z;6.243;21;26;956.2;36.1486294;-115.1090638;9.0;11.0;12.0
2023-11-04T15:02:00.000Z;8.418;21;26;956.1;36.1501482;-115.1094263;;;
2023-11-04T15:01:00.000Z;8.654;21;23;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:48:00.000Z;5.274;21;23;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:47:00.000Z;5.143;21;23;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:46:00.000Z;5.077;21;23;956.1;36.1486087;-115.1090764;;;
2023-11-04T14:45:00.000Z;5.084;21;24;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:44:00.000Z;4.638;21;24;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:43:00.000Z;4.147;21;24;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:42:00.000Z;2.752;21;24;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:41:00.000Z;2.752;21;24;955.9;36.1486087;-115.1090764;5.0;7.0;8.0
2023-11-04T14:40:00.000Z;5.935;21;24;956.0;36.1486087;-115.1090764;;;
2023-11-04T14:39:00.000Z;5.857;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:38:00.000Z;5.732;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:37:00.000Z;5.706;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:36:00.000Z;5.49;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:35:00.000Z;5.483;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:34:00.000Z;5.365;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:33:00.000Z;4.92;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:32:00.000Z;4.337;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:31:00.000Z;3.059;21;24;955.9;36.1486087;-115.1090764;;;
2023-11-04T14:30:00.000Z;2.745;21;24;955.8;36.1486087;-115.1090764;7.0;8.0;10.0
2023-11-04T14:29:00.000Z;5.968;21;24;955.8;36.1486087;-115.1090764;;;
2023-11-04T14:28:00.000Z;6.001;21;24;955.8;36.1486087;-115.1090764;;;
