Date (GMT);VOC (ppm);PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude
2024-01-14T23:59:00.000Z;0.446;2.1;3.8;5.1;16.0;18.0;950.7;36.1967442;-115.1027572
2024-01-14T23:58:00.000Z;0.539;;;;16.0;18.0;950.6;36.1967442;-115.1027572
2024-01-14T23:57:00.000Z;0.319;;;;16.0;18.0;950.6;36.1967442;-115.1027572
2024-01-14T23:56:00.000Z;0.317;;;;16.0;18.0;950.6;36.1967442;-115.1027572
2024-01-14T23:55:00.000Z;0.329;;;;16.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:54:00.000Z;0.328;;;;16.0;18.0;950.6;36.1967442;-115.1027572
2024-01-14T23:53:00.000Z;0.313;;;;16.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:52:00.000Z;0.331;;;;16.0;18.0;950.4;36.1967442;-115.1027572
2024-01-14T23:51:00.000Z;0.336;;;;17.0;17.0;950.5;36.1967442;-115.1027572
2024-01-14T23:50:00.000Z;0.36;;;;17.0;17.0;950.5;36.1967442;-115.1027572
2024-01-14T23:49:00.000Z;0.361;;;;16.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:48:00.000Z;0.588;4.4;6.3;7.6;17.0;17.0;950.5;36.1967442;-115.1027572
2024-01-14T23:47:00.000Z;0.684;;;;17.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:46:00.000Z;0.677;;;;17.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:45:00.000Z;0.493;;;;17.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:44:00.000Z;0.813;;;;17.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:43:00.000Z;0.719;;;;17.0;18.0;950.6;36.1967442;-115.1027572
2024-01-14T23:42:00.000Z;0.36;;;;17.0;18.0;950.4;36.1967442;-115.1027572
2024-01-14T23:41:00.000Z;0.351;;;;17.0;18.0;950.5;36.1967442;-115.1027572
2024-01-14T23:40:00.000Z;0.33;;;;17.0;18.0;950.4;36.1967442;-115.1027572
2024-01-14T23:39:00.000Z;0.292;;;;17.0;18.0;950.4;36.1967442;-115.1027572
2024-01-14T23:38:00.000Z;0.29;;;;17.0;18.0;950.4;36.1967442;-115.1027572
2024-01-14T23:37:00.000Z;0.308;4.6;6.3;7.4;17.0;18.0;950.4;36.1967755;-115.1026906
2024-01-14T23:36:00.000Z;0.329;4.2;6.0;6.9;17.0;18.0;950.3;36.1966767;-115.1028736
2024-01-14T23:35:00.000Z;0.449;5.1;6.8;8.0;17.0;18.0;950.4;36.1966767;-115.1028736
2024-01-14T23:34:00.000Z;0.546;;;;17.0;18.0;950.43;36.1966521;-115.1028296
2024-01-14T23:33:00.000Z;0.472;3.0;5.0;6.0;17.0;18.0;950.4;36.1968559;-115.1028967
2024-01-14T23:32:00.000Z;0.336;3.0;5.0;6.0;17.0;18.0;950.42;36.1968559;-115.1028967
2024-01-14T23:31:00.000Z;0.44;3.0;5.0;6.0;17.0;18.0;950.39;36.1968559;-115.1028967
2024-01-14T16:40:00.000Z;0.468;;;;3.0;19.0;951.1;36.1485505;-115.1091804
2024-01-14T16:39:00.000Z;0.376;;;;3.0;19.0;951.1;36.1487876;-115.1094154
2024-01-14T16:38:00.000Z;0.36;;;;3.0;19.0;951.2;36.1487876;-115.1094154
2024-01-14T16:37:00.000Z;0.332;;;;3.0;19.0;951.2;36.1487901;-115.10943
2024-01-14T16:36:00.000Z;0.47;1.0;1.0;2.0;3.0;19.0;951.1;36.1485587;-115.1091705
2024-01-14T16:35:00.000Z;0.325;1.0;1.0;2.0;3.0;19.0;951.23;36.1485587;-115.1091705
2024-01-14T16:34:00.000Z;0.57;;;;3.0;18.0;951.2;36.1485587;-115.1091705
2024-01-14T16:33:00.000Z;0.552;;;;3.0;18.0;951.1;36.1485587;-115.1091705
2024-01-14T16:32:00.000Z;0.521;;;;3.0;18.0;951.0;36.1485587;-115.1091705
2024-01-14T16:31:00.000Z;0.504;;;;3.0;18.0;951.1;36.1485587;-115.1091705
2024-01-14T16:30:00.000Z;0.46;;;;3.0;18.0;951.0;36.1485587;-115.1091705
2024-01-14T16:29:00.000Z;0.439;;;;3.0;18.0;950.9;36.1485587;-115.1091705
2024-01-14T16:28:00.000Z;0.371;;;;3.0;19.0;951.0;36.1485587;-115.1091705
2024-01-14T16:27:00.000Z;0.359;;;;3.0;19.0;950.9;36.1485587;-115.1091705
2024-01-14T16:26:00.000Z;0.351;1.0;1.0;2.0;3.0;19.0;950.99;36.1485587;-115.1091705
2024-01-14T16:25:00.000Z;0.315;;;;3.0;19.0;951.0;36.1485587;-115.1091705
2024-01-14T16:24:00.000Z;0.336;1.0;1.1;2.4;3.0;19.0;951.0;36.1485587;-115.1091705
2024-01-14T16:23:00.000Z;0.576;;;;3.0;18.0;951.0;36.1485587;-115.1091705
2024-01-14T16:22:00.000Z;0.543;;;;3.0;18.0;951.0;36.1485587;-115.1091705
2024-01-14T16:21:00.000Z;0.499;;;;3.0;18.0;950.9;36.1485587;-115.1091705
2024-01-14T16:20:00.000Z;0.478;;;;3.0;18.0;950.9;36.1485587;-115.1091705
2024-01-14T16:19:00.000Z;0.435;;;;3.0;18.0;951.0;36.1485477;-115.109196
2024-01-14T16:18:00.000Z;0.437;;;;3.0;18.0;951.0;36.1485413;-115.1091914
2024-01-14T16:17:00.000Z;0.371;;;;3.0;18.0;950.9;36.148561;-115.1091776
2024-01-14T16:16:00.000Z;0.355;;;;3.0;18.0;950.9;36.148561;-115.1091776
2024-01-14T16:15:00.000Z;0.334;;;;3.0;18.0;951.0;36.148561;-115.1091776
2024-01-14T16:14:00.000Z;0.319;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T16:13:00.000Z;0.32;1.0;1.0;2.0;3.0;18.0;950.93;36.148561;-115.1091776
2024-01-14T16:12:00.000Z;0.314;1.0;1.0;2.0;3.0;18.0;950.89;36.148561;-115.1091776
2024-01-14T16:11:00.000Z;0.404;1.0;1.0;2.0;3.0;18.0;950.88;36.148561;-115.1091776
2024-01-14T15:52:00.000Z;0.317;;;;3.0;18.0;950.7;36.148561;-115.1091776
2024-01-14T15:51:00.000Z;0.316;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:50:00.000Z;0.565;1.0;1.0;2.0;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:49:00.000Z;0.535;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:48:00.000Z;0.525;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:47:00.000Z;0.494;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:46:00.000Z;0.452;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:45:00.000Z;0.41;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:44:00.000Z;0.379;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:43:00.000Z;0.357;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:42:00.000Z;0.338;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:41:00.000Z;0.317;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:40:00.000Z;0.316;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:39:00.000Z;0.546;1.0;1.0;2.0;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:38:00.000Z;0.575;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:37:00.000Z;0.521;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:36:00.000Z;0.481;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:35:00.000Z;0.472;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:34:00.000Z;0.416;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:33:00.000Z;0.371;;;;3.0;18.0;950.4;36.148561;-115.1091776
2024-01-14T15:32:00.000Z;0.358;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:31:00.000Z;0.344;;;;3.0;18.0;950.5;36.148561;-115.1091776
2024-01-14T15:30:00.000Z;0.318;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:29:00.000Z;0.31;;;;3.0;18.0;950.4;36.148561;-115.1091776
2024-01-14T15:28:00.000Z;0.502;1.0;1.0;2.0;3.0;18.0;950.4;36.148561;-115.1091776
2024-01-14T15:27:00.000Z;0.568;;;;3.0;18.0;950.6;36.148561;-115.1091776
2024-01-14T15:26:00.000Z;0.55;;;;3.0;18.0;950.5;36.1485405;-115.1091887
2024-01-14T15:25:00.000Z;0.505;;;;3.0;18.0;950.5;36.1488459;-115.1094397
2024-01-14T15:24:00.000Z;0.47;;;;3.0;18.0;950.6;36.1488459;-115.1094397
2024-01-14T15:23:00.000Z;0.456;;;;3.0;18.0;950.5;36.1485675;-115.1091698
2024-01-14T15:22:00.000Z;0.395;;;;3.0;18.0;950.6;36.1484145;-115.1098824
2024-01-14T15:21:00.000Z;0.365;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:20:00.000Z;0.347;;;;3.0;18.0;950.6;36.1484145;-115.1098824
2024-01-14T15:19:00.000Z;0.322;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:18:00.000Z;0.315;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:17:00.000Z;0.465;1.0;1.0;2.0;3.0;18.0;950.6;36.1484145;-115.1098824
2024-01-14T15:16:00.000Z;0.564;;;;3.0;18.0;950.6;36.1484145;-115.1098824
2024-01-14T15:15:00.000Z;0.54;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:14:00.000Z;0.517;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:13:00.000Z;0.492;;;;3.0;18.0;950.4;36.1484145;-115.1098824
2024-01-14T15:12:00.000Z;0.451;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:11:00.000Z;0.406;;;;3.0;18.0;950.5;36.1484145;-115.1098824
2024-01-14T15:10:00.000Z;0.367;;;;3.0;19.0;950.4;36.1484145;-115.1098824
2024-01-14T15:09:00.000Z;0.353;;;;4.0;17.0;950.3;36.1484145;-115.1098824
2024-01-14T15:08:00.000Z;0.328;;;;3.0;19.0;950.4;36.1484145;-115.1098824
2024-01-14T15:07:00.000Z;0.314;;;;3.0;19.0;950.3;36.1484145;-115.1098824
2024-01-14T15:06:00.000Z;0.435;1.0;1.0;2.0;3.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T15:05:00.000Z;0.58;;;;3.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T15:04:00.000Z;0.587;;;;3.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T15:03:00.000Z;0.546;;;;3.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T15:02:00.000Z;0.518;;;;3.0;19.0;950.3;36.1484145;-115.1098824
2024-01-14T15:01:00.000Z;0.479;;;;4.0;17.0;950.4;36.1484145;-115.1098824
2024-01-14T15:00:00.000Z;0.44;;;;4.0;18.0;950.4;36.1484145;-115.1098824
2024-01-14T14:59:00.000Z;0.368;;;;4.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T14:58:00.000Z;0.353;;;;4.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T14:57:00.000Z;0.33;;;;4.0;18.0;950.3;36.1484145;-115.1098824
2024-01-14T14:56:00.000Z;0.314;;;;3.0;19.0;950.4;36.1484145;-115.1098824
2024-01-14T14:55:00.000Z;0.373;1.0;1.0;2.0;3.0;19.0;950.3;36.1484145;-115.1098824
