Date (GMT);VOC (ppm);PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude
2023-11-09T06:23:00.000Z;1.549;1.0;1.0;2.0;20;12;957.3;36.1485781;-115.1091071
2023-11-09T06:22:00.000Z;2.366;;;;20;12;957.3;36.1485781;-115.1091071
2023-11-09T06:21:00.000Z;2.366;;;;20;12;957.3;36.1485781;-115.1091071
2023-11-09T06:20:00.000Z;2.335;;;;20;12;957.3;36.1485781;-115.1091071
2023-11-09T06:19:00.000Z;2.3;;;;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:18:00.000Z;2.258;;;;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:17:00.000Z;2.227;;;;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:16:00.000Z;2.163;;;;20;12;957.1;36.1485781;-115.1091071
2023-11-09T06:15:00.000Z;2.081;;;;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:14:00.000Z;1.907;;;;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:13:00.000Z;1.595;;;;20;12;957.1;36.1485781;-115.1091071
2023-11-09T06:12:00.000Z;1.474;1.0;1.0;2.0;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:11:00.000Z;2.358;;;;20;12;957.2;36.1485781;-115.1091071
2023-11-09T06:10:00.000Z;2.355;;;;20;12;957.1;36.1485781;-115.1091071
2023-11-09T06:09:00.000Z;2.313;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:08:00.000Z;2.297;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:07:00.000Z;2.258;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:06:00.000Z;2.208;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:05:00.000Z;2.153;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:04:00.000Z;2.059;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:03:00.000Z;1.907;;;;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:02:00.000Z;1.603;;;;21;12;957.0;36.1485781;-115.1091071
2023-11-09T06:01:00.000Z;1.417;1.0;2.0;3.0;21;12;957.1;36.1485781;-115.1091071
2023-11-09T06:00:00.000Z;2.285;;;;21;12;957.0;36.1485781;-115.1091071
2023-11-09T05:59:00.000Z;2.276;;;;21;12;957.0;36.1485492;-115.1091607
2023-11-09T05:58:00.000Z;2.214;;;;21;12;957.0;36.1485599;-115.1091586
2023-11-09T05:57:00.000Z;2.184;;;;21;12;957.0;36.1491975;-115.1094368
2023-11-09T05:56:00.000Z;2.106;;;;21;12;957.0;36.1488854;-115.1090715
2023-11-09T05:55:00.000Z;2.034;;;;21;12;957.1;36.1488854;-115.1090715
2023-11-09T05:54:00.000Z;1.89;;;;22;11;956.9;36.1485435;-115.1091579
2023-11-09T05:53:00.000Z;1.747;;;;22;11;957.0;36.1487891;-115.1093529
2023-11-09T05:52:00.000Z;1.486;;;;22;11;957.0;36.1487891;-115.1093529
2023-11-09T05:51:00.000Z;0.921;;;;22;11;957.0;36.1487891;-115.1093529
2023-11-09T05:50:00.000Z;0.291;;;;21;12;957.0;36.1487891;-115.1093529
2023-11-09T05:49:00.000Z;0.01;;;;21;12;957.0;36.1487891;-115.1093529
2023-11-09T05:48:00.000Z;0.227;1.0;1.0;2.0;21;12;957.0;36.1487891;-115.1093529
2023-11-09T05:47:00.000Z;0.01;1.0;1.0;2.0;21;12;957.0;36.1487891;-115.1093529
2023-11-09T05:46:00.000Z;0.434;;;;21;12;957.0;36.1487891;-115.1093529
2023-11-09T05:45:00.000Z;0.363;;;;21;12;956.9;36.1487891;-115.1093529
2023-11-09T05:44:00.000Z;0.879;1.0;1.0;2.0;20;13;957.0;36.1487891;-115.1093529
2023-11-09T05:42:00.000Z;0.472;1.0;1.0;2.0;20;13;957.0;36.1487891;-115.1093529
2023-11-09T05:41:00.000Z;3.308;;;;20;12;957.0;36.1487891;-115.1093529
2023-11-09T05:40:00.000Z;2.283;;;;21;12;957.0;36.1487891;-115.1093529
