Date (GMT);VOC (ppm);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2024-01-02T23:59:00.000Z;0.601;18.0;22.0;958.0;36.1817086;-115.0531438;;;
2024-01-02T23:58:00.000Z;0.445;18.0;22.0;958.1;36.1817533;-115.0530894;;;
2024-01-02T23:57:00.000Z;0.449;18.0;22.0;958.1;36.181712;-115.0529209;;;
2024-01-02T23:56:00.000Z;0.42;18.0;22.0;958.0;36.1817134;-115.0529254;;;
2024-01-02T23:55:00.000Z;0.486;19.0;21.0;958.0;36.181766;-115.0529143;;;
2024-01-02T23:54:00.000Z;0.5;19.0;21.0;958.0;36.1816418;-115.05271;;;
2024-01-02T23:53:00.000Z;0.347;19.0;21.0;957.9;36.1817196;-115.0529425;;;
2024-01-02T23:52:00.000Z;0.267;19.0;21.0;957.9;36.1816411;-115.0527647;;;
2024-01-02T23:51:00.000Z;0.182;19.0;20.0;958.0;36.1816697;-115.0528231;;;
2024-01-02T23:50:00.000Z;0.134;19.0;20.0;958.0;36.1816493;-115.0527782;;;
2024-01-02T23:49:00.000Z;0.144;18.0;21.0;957.9;36.181665;-115.0528494;1.1;2.3;3.9
2024-01-02T23:48:00.000Z;0.161;19.0;20.0;957.9;36.1816877;-115.0528419;1.0;2.0;3.0
2024-01-02T23:47:00.000Z;0.121;19.0;20.0;957.9;36.1816928;-115.0528325;;;
2024-01-02T23:46:00.000Z;0.084;19.0;20.0;958.0;36.1817569;-115.0530625;;;
2024-01-02T23:45:00.000Z;0.053;19.0;20.0;958.0;36.1816367;-115.0523957;;;
2024-01-02T23:44:00.000Z;0.065;19.0;20.0;958.0;36.1816811;-115.0527963;;;
2024-01-02T23:43:00.000Z;0.083;20.0;19.0;957.9;36.1817438;-115.0530453;;;
2024-01-02T23:42:00.000Z;0.069;20.0;19.0;957.9;36.1817505;-115.0530885;;;
2024-01-02T23:41:00.000Z;0.095;20.0;19.0;957.9;36.1817505;-115.0530885;;;
2024-01-02T23:40:00.000Z;0.115;20.0;19.0;958.0;36.1817505;-115.0530885;;;
2024-01-02T23:39:00.000Z;0.131;20.0;19.0;958.0;36.1817505;-115.0530885;;;
2024-01-02T23:38:00.000Z;0.157;20.0;19.0;957.9;36.1817505;-115.0530885;;;
2024-01-02T23:37:00.000Z;0.185;20.0;20.0;957.9;36.1817505;-115.0530885;1.0;2.2;3.0
2024-01-02T23:36:00.000Z;0.239;20.0;20.0;957.9;36.1817505;-115.0530885;;;
2024-01-02T23:35:00.000Z;0.326;20.0;20.0;958.0;36.1817505;-115.0530885;;;
2024-01-02T23:34:00.000Z;0.266;20.0;20.0;958.0;36.1817505;-115.0530885;;;
2024-01-02T23:33:00.000Z;0.204;20.0;20.0;958.0;36.1817505;-115.0530885;;;
2024-01-02T23:32:00.000Z;0.172;20.0;20.0;958.1;36.1817505;-115.0530885;;;
2024-01-02T23:31:00.000Z;0.122;20.0;20.0;958.0;36.1817505;-115.0530885;;;
2024-01-02T23:30:00.000Z;0.086;20.0;20.0;958.0;36.1817258;-115.0528168;;;
2024-01-02T23:29:00.000Z;0.092;20.0;20.0;958.0;36.1817258;-115.0528168;;;
2024-01-02T23:28:00.000Z;0.114;20.0;20.0;958.0;36.1817258;-115.0528168;;;
2024-01-02T23:27:00.000Z;0.14;19.0;20.0;958.1;36.1817258;-115.0528168;;;
2024-01-02T23:26:00.000Z;0.17;19.0;20.0;958.0;36.1817258;-115.0528168;1.4;2.9;4.2
2024-01-02T23:25:00.000Z;0.101;20.0;19.0;958.0;36.1817258;-115.0528168;;;
2024-01-02T23:24:00.000Z;0.085;20.0;20.0;958.0;36.1817382;-115.0529504;;;
2024-01-02T23:23:00.000Z;0.089;20.0;19.0;958.0;36.1817382;-115.0529504;;;
2024-01-02T23:22:00.000Z;0.115;20.0;20.0;958.0;36.1817591;-115.053052;;;
2024-01-02T23:21:00.000Z;0.135;20.0;20.0;958.1;36.1817516;-115.0531302;;;
2024-01-02T23:20:00.000Z;0.085;20.0;19.0;958.1;36.1818062;-115.053043;;;
2024-01-02T23:19:00.000Z;0.093;21.0;19.0;958.0;36.1818062;-115.053043;;;
2024-01-02T23:18:00.000Z;0.088;21.0;19.0;958.1;36.1816843;-115.0530492;;;
2024-01-02T23:17:00.000Z;0.098;21.0;19.0;958.2;36.1816843;-115.0530492;;;
2024-01-02T23:16:00.000Z;0.081;21.0;18.0;958.1;36.1816843;-115.0530492;;;
2024-01-02T23:15:00.000Z;0.074;21.0;18.0;958.2;36.1816843;-115.0530492;2.1;3.7;4.4
2024-01-02T23:14:00.000Z;0.066;21.0;19.0;958.2;36.1814429;-115.0528629;;;
2024-01-02T23:13:00.000Z;0.04;21.0;18.0;958.1;36.1816859;-115.0530394;;;
2024-01-02T23:12:00.000Z;0.053;21.0;18.0;958.1;36.1817557;-115.0531364;;;
2024-01-02T23:11:00.000Z;0.067;21.0;18.0;958.1;36.1815859;-115.0531081;;;
2024-01-02T23:10:00.000Z;0.083;21.0;18.0;958.2;36.1816881;-115.0531363;;;
2024-01-02T23:09:00.000Z;0.101;20.0;20.0;958.1;36.1815357;-115.0524685;;;
2024-01-02T23:08:00.000Z;0.121;20.0;20.0;958.2;36.1816924;-115.0527445;;;
2024-01-02T23:07:00.000Z;0.134;20.0;20.0;958.2;36.1816924;-115.0527445;;;
2024-01-02T23:06:00.000Z;0.159;20.0;20.0;958.2;36.1816924;-115.0527445;;;
2024-01-02T23:05:00.000Z;0.204;19.0;21.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T23:04:00.000Z;0.281;19.0;20.0;958.2;36.1812847;-115.0533785;1.4;3.0;4.1
2024-01-02T23:03:00.000Z;0.293;19.0;20.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T23:02:00.000Z;0.277;20.0;19.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T23:01:00.000Z;0.251;20.0;19.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T23:00:00.000Z;0.183;20.0;19.0;958.1;36.1812847;-115.0533785;;;
2024-01-02T22:59:00.000Z;0.131;20.0;19.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T22:58:00.000Z;0.095;21.0;19.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T22:57:00.000Z;0.106;21.0;19.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T22:56:00.000Z;0.137;21.0;19.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T22:55:00.000Z;0.136;21.0;18.0;958.2;36.1812847;-115.0533785;;;
2024-01-02T22:54:00.000Z;0.099;20.0;20.0;958.1;36.1811647;-115.0531803;;;
2024-01-02T22:53:00.000Z;0.089;20.0;19.0;958.2;36.1813072;-115.0531101;2.4;3.8;5.1
2024-01-02T22:52:00.000Z;0.089;20.0;20.0;958.2;36.1817613;-115.0531294;;;
2024-01-02T22:51:00.000Z;0.059;20.0;20.0;958.2;36.1817553;-115.0531285;;;
2024-01-02T22:50:00.000Z;0.05;20.0;20.0;958.2;36.1817553;-115.0531285;;;
2024-01-02T22:49:00.000Z;0.014;20.0;20.0;958.2;36.1817553;-115.0531285;;;
2024-01-02T22:48:00.000Z;0.01;20.0;20.0;958.1;36.1817553;-115.0531285;;;
2024-01-02T22:47:00.000Z;0.01;20.0;20.0;958.1;36.1817553;-115.0531285;;;
2024-01-02T22:46:00.000Z;0.01;19.0;21.0;958.1;36.1816791;-115.0531502;;;
2024-01-02T22:45:00.000Z;0.01;19.0;21.0;958.2;36.1817652;-115.0530984;;;
2024-01-02T22:44:00.000Z;0.01;19.0;21.0;958.3;36.1817599;-115.0531108;;;
2024-01-02T22:43:00.000Z;0.01;18.0;22.0;958.3;36.1816657;-115.0528727;;;
2024-01-02T22:42:00.000Z;0.01;18.0;23.0;958.2;36.1816657;-115.0528727;1.5;3.5;4.9
2024-01-02T22:41:00.000Z;0.01;19.0;22.0;958.3;36.1816657;-115.0528727;;;
2024-01-02T22:40:00.000Z;0.01;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:39:00.000Z;0.013;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:38:00.000Z;0.012;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:37:00.000Z;0.013;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:36:00.000Z;0.015;19.0;20.0;958.3;36.1816657;-115.0528727;;;
2024-01-02T22:35:00.000Z;0.025;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:34:00.000Z;0.035;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:33:00.000Z;0.047;19.0;21.0;958.3;36.1816657;-115.0528727;;;
2024-01-02T22:32:00.000Z;0.084;19.0;21.0;958.3;36.1816657;-115.0528727;;;
2024-01-02T22:31:00.000Z;0.048;19.0;21.0;958.3;36.1816657;-115.0528727;2.0;3.4;4.9
2024-01-02T22:30:00.000Z;0.061;19.0;21.0;958.3;36.1816657;-115.0528727;;;
2024-01-02T22:29:00.000Z;0.07;19.0;22.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:28:00.000Z;0.067;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:27:00.000Z;0.062;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:26:00.000Z;0.058;19.0;21.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:25:00.000Z;0.077;19.0;20.0;958.1;36.1816657;-115.0528727;;;
2024-01-02T22:24:00.000Z;0.107;20.0;20.0;958.2;36.1816657;-115.0528727;;;
2024-01-02T22:23:00.000Z;0.102;20.0;20.0;958.1;36.1816657;-115.0528727;;;
2024-01-02T22:22:00.000Z;0.132;20.0;20.0;958.2;36.1816657;-115.0528727;;;
