Date (GMT);VOC (ppm);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2023-12-19T23:59:00.000Z;0.01;19.0;21.0;948.9;36.1817443;-115.0526425;;;
2023-12-19T23:58:00.000Z;0.015;19.0;20.0;948.9;36.1817443;-115.0526425;1.0;2.4;3.5
2023-12-19T23:57:00.000Z;0.09;19.0;21.0;948.9;36.1817228;-115.0526428;;;
2023-12-19T23:56:00.000Z;0.119;19.0;21.0;948.9;36.1817228;-115.0526428;;;
2023-12-19T23:55:00.000Z;0.133;19.0;20.0;948.9;36.1817228;-115.0526428;;;
2023-12-19T23:54:00.000Z;0.016;21.0;17.0;948.9;36.1817228;-115.0526428;;;
2023-12-19T23:53:00.000Z;0.147;19.0;20.0;948.99;36.1817228;-115.0526428;1.0;2.0;3.0
2023-12-19T23:52:00.000Z;0.178;19.0;20.0;948.88;36.1817228;-115.0526428;1.0;2.0;3.0
2023-12-19T23:51:00.000Z;0.126;19.0;19.0;948.91;36.1817228;-115.0526428;1.0;2.0;3.0
2023-12-19T23:45:00.000Z;0.021;21.0;17.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:44:00.000Z;0.024;21.0;17.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:43:00.000Z;0.036;21.0;17.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:42:00.000Z;0.037;21.0;17.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:41:00.000Z;0.032;22.0;16.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:40:00.000Z;0.051;22.0;16.0;948.7;36.1817326;-115.0530737;;;
2023-12-19T23:39:00.000Z;0.047;22.0;16.0;948.7;36.1817326;-115.0530737;;;
2023-12-19T23:38:00.000Z;0.066;23.0;15.0;948.7;36.1817326;-115.0530737;;;
2023-12-19T23:37:00.000Z;0.109;23.0;16.0;948.7;36.1817326;-115.0530737;;;
2023-12-19T23:36:00.000Z;0.121;23.0;16.0;948.7;36.1817326;-115.0530737;;;
2023-12-19T23:35:00.000Z;0.263;23.0;16.0;948.8;36.1817326;-115.0530737;1.4;2.6;3.6
2023-12-19T23:34:00.000Z;0.253;23.0;16.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:33:00.000Z;0.208;23.0;16.0;948.8;36.1817326;-115.0530737;;;
2023-12-19T23:32:00.000Z;0.153;24.0;15.0;948.7;36.1818411;-115.0529274;;;
2023-12-19T23:31:00.000Z;0.165;24.0;16.0;948.7;36.1818411;-115.0529274;;;
2023-12-19T23:30:00.000Z;0.196;24.0;16.0;948.6;36.1818411;-115.0529274;;;
2023-12-19T23:29:00.000Z;0.199;24.0;16.0;948.6;36.1818411;-115.0529274;;;
2023-12-19T23:28:00.000Z;0.234;25.0;15.0;948.7;36.1818411;-115.0529274;;;
